country, comprised_count, common_isp, common_server,  common_signature
United States,919, A Small Orange LLC,None,HackeD By Desert Warriors
Germany,72, Hetzner Online GmbH,Apache,&#1203;&#824;&#1202;&#824;&#1203; HACKED BY Cherif Hadria Mohamed Riane &#1203;&#824;&#1202;&#824;&#1203;
Singapore,36, Amazon.com,nginx,Hacked By DarkOct02 &#8211; Just another WordPress site
Indonesia,52, PT Telkom Indonesia,Apache (Win32),Hacked By MR.W4NT3K
United Kingdom,25, Amazon.com,Apache,Hacked By ./BarBarKing
France,80, OVH SAS,Apache,hacked by XnonGermx
Israel,5, Partner Communications,Microsoft-IIS/6.0,Hacked by Error People Squad &#8211; Just another WordPress site
Hong Kong,21, SonderCloud Limited,nginx,Hacked by Attacker Gaza
Ireland,12, Amazon.com,Apache,Hacked By VenoRyan
India,31, PDR,Apache,Hacked By Baytar
Italy,15, Consortium GARR,Apache,None
South Korea,33, Amazon.com,Mrvl-R1_0,None
Brazil,23, Locaweb Servicos de Internet S/A,Apache,HACKED
Poland,24, home.pl S.A.,IdeaWebServer/0.83.491,Hacked By CRAZYC0D3-ID
Romania,9, Voxility LLP,Apache,Hacked By RedHat
Vietnam,8, Viet Solutions Services Trading Company Limited,Apache,Hacked By Sasuke
China,47, Hangzhou Alibaba Advertising Co. | Ltd.,nginx,None
Russia,16, JSC The First,nginx,None
Netherlands,19, Hostinger International Limited,nginx,None
Japan,33, Amazon.com,Apache,hacked by temp3 &#8211; bandung6etar &#8211; Just another WordPress site
South Africa,2, Gridhost,Microsoft-IIS/6.0,Hacked By Sipahiler
Chile,3, Zam Ltda.,Apache,Hacked by Mr.Z | Cowok Tersakiti Team
Spain,13, Cogent Communications,Apache,Hacked by Salim &#8211; Just another WordPress site
Czechia,10, Sprintel s.r.o.,Apache,Hacked By /Rayzky_ X f0rgetC0d3
Taiwan,12, Taiwan Academic Network,Apache (CentOS),Hacked By Suliman-Hacker
Bulgaria,6, A1 Bulgaria,Mrvl-R1_0,Hacked by Error People Squad &#8211; Just another WordPress site
Canada,32, OVH SAS,Apache,Hacked by Ne0-h4ck3r
United Arab Emirates,2, PDR,nginx,Hacked by Dayat-See7
Austria,4, MKQ Internetservice,Apache (Debian),HaCkED BY ViRusx.EL
Turkey,9, Aysima Bilisim Teknolojileri Erhan Mahmut,LiteSpeed,Hacked by HiLLs | Hacked by HiLLs
Finland,1, UpCloud Ltd,Apache (Ubuntu),Hacked By Fighter Kamrul &#8211; Just another WordPress site
Australia,9, ServersAustralia,Apache,None
Bangladesh,2, Telnet Communication Limited Network and Transit S,Apache (Ubuntu),Hacked by ./WagWoord-406
Bosnia and Herzegovina,1, Logosoft,Apache (Win64),HaCkeD By X CoDe PS
Denmark,6, Zitcom A/S,LiteSpeed,Hacked By Yuba
Iran,5, Tebyan-e-Noor Cultural-Artistic Institute,Microsoft-IIS/10.0,Hacked by moroccan revolution  Gaza.exe
Malaysia,7, TM Net,Apache (Win32),Hacked by GX40
Switzerland,1, ITL-Bulgaria Ltd.,Apache,Hacked By Zx'Phoenix
New Zealand,1, hd.net.nz,Apache (Ubuntu),HACKED BY FEXTOR
Cyprus,1, Hostinger International Limited,Apache (Unix),hacked by PsychoXploit
Peru,1, Claro Peru,Apache,Hacked By: ./Riztrexx
Sweden,8, GleSYS Internet Services AB,Apache,Hacked by Dead Haxor &gt;&gt; &lt;&lt;
Thailand,2, Z.com,Microsoft-IIS/10.0,Hacked By Zer0day
Norway,1, Internet Vikings International AB,Apache,Hacked by Dead Haxor &gt;&gt; &lt;&lt;
Slovenia,1, Telekom Slovenije,Apache (Win32),HacKed By ./lakarha23
Malta,1, GleSYS Internet Services AB,Apache,Hacked by Dead Haxor &gt;&gt; &lt;&lt;
Mongolia,1, Univision,Apache (Win32),Hacked By D704T
Egypt,1, Noor Data Networks,Microsoft-IIS/7.5,Hacked by #theloserteam
Venezuela,1, Cantv,Apache (Debian),Hacked by Anonymous Venezuela
Bhutan,2, DrukNet ISP,Apache (Ubuntu),Hacked By ./WagWoord-406
Botswana,2, Botswana Telecommunications Corporation,Microsoft-IIS/6.0,Hacked by KkK1337
Belgium,4, Orange Belgium,uIP/1.0 http://www.sics.se/~adam/uip/,Hacked By Bala Sniper
Greece,3, Aristotle University of Thessaloniki,Virata-EmWeb/R6_2_1,HP LaserJet P2055dn&nbsp;&nbsp;&nbsp;155.207.88.42
El Salvador,1, Claro El Salvador,Virata-EmWeb/R6_2_1,HP LaserJet P2055dn&nbsp;&nbsp;&nbsp;192.168.1.241
Slovakia,3, Zdruzenie pouzivatelov Slovenskej akademickej dato,Apache (Debian),�stav s�dneho in�inierstva |  �ilina
Mexico,2, Telmex,Microsoft-IIS/8.0,Crystal_MSF
Hungary,3, RackForest Kft.,nginx,VandaTheGod
Bolivia,1, Entel S.A. - EntelNet,Virata-EmWeb/R6_2_1,HP LaserJet P2055x&nbsp;&nbsp;&nbsp;167.157.17.244
Ecuador,1, Netlife,Apache (Win32),Own3d By 407 Authentic Exploit
Portugal,1, Nos Comunicacoes |  S.A.,Apache (Debian),Advisory Explicit Content
Ukraine,1, Techcom Ltd,nginx,Полные игры с модами | Взломанные игры без доната
Kuwait,1, QualityNet,Microsoft-IIS/6.0,TERSAKITI T_T
Argentina,1, NSS S.A.,Microsoft-IIS/10.0,La Colonia - Banco Provinica
Algeria,1, Algerie Telecom,Apache (Win64),Welcome To BlackWin
Kenya,1, Safaricom Business,Apache (Win32),Own3d By 407 Authentic Exploit
