domain_name, registrar, orginization, name, address, city, state, zip_code, country_name
"hostwindsdns.com","NameCheap, Inc.","None","None","None","None","None","None","None"
"amazonaws.com","MarkMonitor, Inc.","Amazon.com, Inc.","Legal Department","PO BOX 81226","Seattle","WA","None","US"
"hostdango.com","GoDaddy.com, LLC","Domains By Proxy, LLC","Registration Private","['DomainsByProxy.com', '14455 N. Hayden Road']","Scottsdale","Arizona","None","US"
"vultr.com","GoDaddy.com, LLC","Vultr Holdings Corporation","None","None","None","New Jersey","None","US"
"toolsforrealestate.com","Internet Domain Service BS Corp.","Whois Privacy Corp.","Domain Admin","Ocean Centre, Montagu Foreshore, East Bay Street","Nassau","New Providence","None","BS"
"papua.go.id","Kementerian Komunikasi dan Informatika","None","None","None","None","None","None","None"
"xrqa.com","Easyspace Ltd.","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","Surrey","None","UK"
"le-refuge.org","OVH, SAS","Association Le Refuge","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","None","None","FR"
"wonogirikab.go.id","Kementerian Komunikasi dan Informatika","None","None","None","None","None","None","None"
"luxflex.com","Launchpad, Inc. (HostGator)","GDPR Masked","GDPR Masked","GDPR Masked","GDPR Masked","Luxembourg","None","LU"
"frontierinternetservices.com","GoDaddy.com, LLC","None","None","None","None","California","None","US"
"apprend.in","GoDaddy.com, LLC","None","None","None","None","Maharashtra","None","IN"
"residenzawagner.com","TUCOWS, INC.","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","None","IT"
"unifiedlayer.com","Domain.com, LLC","Endurance International Group, Inc.","Domain Manager","10 Corporate Drive","Burlington","MA","None","US"
"secureserver.net","Wild West Domains, LLC","Go Daddy Operating Company, LLC","None","None","None","Arizona","None","US"
"home.pl","home.pl S.A.","None","None","None","None","None","None","None"
"wanadoo.fr","NORDNET","None","None","None","None","None","None","None"
"googleusercontent.com","MarkMonitor, Inc.","Google LLC","None","None","None","CA","None","US"
"tlh.ro","Top Level Hosting SRL","None","None","None","None","None","None","None"
"eukservers.com","ENOM, INC.","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","WEST YORKSHIRE","None","GB"
"we.bs","None","None","None","None","None","None","None","None"
"kreditovik.ru","REGTIME-RU","None","None","None","None","None","None","None"
"ip-176-31-127.eu","None","None","None","None","None","None","None","None"
"linode.com","Name.com, Inc.","Linode, LLC","Christopher Aker","329 E. Jimmie Leeds Road , Suite A","Galloway","NJ","None","US"
"ihcounsel.com","TUCOWS, INC.","Contact Privacy Inc. Customer 0147095306","Contact Privacy Inc. Customer 0147095306","96 Mowat Ave","Toronto","ON","None","CA"
"lakewoodcrossing.com","GoDaddy.com, LLC","3 Man Group","None","None","None","Washington","None","US"
"16clouds.com","TUCOWS, INC.","Contact Privacy Inc. Customer 0152106108","Contact Privacy Inc. Customer 0152106108","96 Mowat Ave","Toronto","ON","None","CA"
"wadns.net","ENOM, INC.","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","None","US"
"j-mysteryclub.jp","None","None","None","None","None","None","None","None"
"ip-51-79-176.net","OVH, SAS","OVH","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","None","None","FR"
"ovh.net","OVH, SAS","OVH SAS","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","None","None","FR"
"ip-137-74-13.eu","None","None","None","None","None","None","None","None"
"umcs.pl","Agnat Sp. z o.o.","None","None","None","None","None","None","None"
